freq,unit,bmi,isced11,sex,age,geo,TIME_PERIOD,values
A,PC,BMI18P5-24,ED0-2,F,Y15-24,DE,2014,64.3
A,PC,BMI18P5-24,ED0-2,F,Y15-24,DE,2019,74.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,DK,2014,66.9
A,PC,BMI18P5-24,ED0-2,F,Y15-24,DK,2019,66.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EE,2014,68
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EE,2019,71.2
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EL,2014,78.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EL,2019,80
A,PC,BMI18P5-24,ED0-2,F,Y15-24,ES,2014,68.3
A,PC,BMI18P5-24,ED0-2,F,Y15-24,ES,2019,67.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EU27_2020,2014,68.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EU27_2020,2019,69
A,PC,BMI18P5-24,ED0-2,F,Y15-24,EU28,2014,68.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,FI,2014,66.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,FI,2019,59.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,FR,2014,64.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,FR,2019,60.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,HR,2014,73.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,HR,2019,69.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,HU,2014,63.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,HU,2019,63.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IE,2014,77.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IE,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IS,2014,74.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IS,2019,64.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IT,2014,72.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,IT,2019,67.5
A,PC,BMI18P5-24,ED0-2,F,Y15-24,LT,2014,80.5
A,PC,BMI18P5-24,ED0-2,F,Y15-24,LT,2019,80.5
A,PC,BMI18P5-24,ED0-2,F,Y15-24,LU,2014,71
A,PC,BMI18P5-24,ED0-2,F,Y15-24,LU,2019,65.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,LV,2014,80.5
A,PC,BMI18P5-24,ED0-2,F,Y15-24,LV,2019,77.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,MT,2014,60.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,MT,2019,55.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,NL,2014,70.3
A,PC,BMI18P5-24,ED0-2,F,Y15-24,NL,2019,70.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,NO,2014,69
A,PC,BMI18P5-24,ED0-2,F,Y15-24,NO,2019,70
A,PC,BMI18P5-24,ED0-2,F,Y15-24,PL,2014,68.2
A,PC,BMI18P5-24,ED0-2,F,Y15-24,PL,2019,69.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,PT,2014,63.2
A,PC,BMI18P5-24,ED0-2,F,Y15-24,PT,2019,71.9
A,PC,BMI18P5-24,ED0-2,F,Y15-24,RO,2014,78.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,RO,2019,80.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,RS,2019,66.8
A,PC,BMI18P5-24,ED0-2,F,Y15-24,SE,2014,72.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,SE,2019,70.9
A,PC,BMI18P5-24,ED0-2,F,Y15-24,SI,2014,73.4
A,PC,BMI18P5-24,ED0-2,F,Y15-24,SI,2019,78
A,PC,BMI18P5-24,ED0-2,F,Y15-24,SK,2014,72.6
A,PC,BMI18P5-24,ED0-2,F,Y15-24,SK,2019,63.1
A,PC,BMI18P5-24,ED0-2,F,Y15-24,TR,2014,64.2
A,PC,BMI18P5-24,ED0-2,F,Y15-24,TR,2019,62.7
A,PC,BMI18P5-24,ED0-2,F,Y15-24,UK,2014,65.1
A,PC,BMI18P5-24,ED0-2,F,Y15-29,AT,2019,60.4
A,PC,BMI18P5-24,ED0-2,F,Y15-29,BE,2019,60.9
A,PC,BMI18P5-24,ED0-2,F,Y15-29,BG,2019,77
A,PC,BMI18P5-24,ED0-2,F,Y15-29,CY,2019,62.7
A,PC,BMI18P5-24,ED0-2,F,Y15-29,CZ,2019,74.6
A,PC,BMI18P5-24,ED0-2,F,Y15-29,DE,2019,69.2
A,PC,BMI18P5-24,ED0-2,F,Y15-29,DK,2019,66.2
A,PC,BMI18P5-24,ED0-2,F,Y15-29,EE,2019,73.1
A,PC,BMI18P5-24,ED0-2,F,Y15-29,EL,2019,80.8
A,PC,BMI18P5-24,ED0-2,F,Y15-29,ES,2019,65.7
A,PC,BMI18P5-24,ED0-2,F,Y15-29,EU27_2020,2019,66.4
A,PC,BMI18P5-24,ED0-2,F,Y15-29,FI,2019,58.7
A,PC,BMI18P5-24,ED0-2,F,Y15-29,FR,2019,59.5
A,PC,BMI18P5-24,ED0-2,F,Y15-29,HR,2019,70.1
A,PC,BMI18P5-24,ED0-2,F,Y15-29,HU,2019,60
A,PC,BMI18P5-24,ED0-2,F,Y15-29,IE,2019,NA
A,PC,BMI18P5-24,ED0-2,F,Y15-29,IS,2019,63.9
A,PC,BMI18P5-24,ED0-2,F,Y15-29,IT,2019,66.4
A,PC,BMI18P5-24,ED0-2,F,Y15-29,LT,2019,78.2
A,PC,BMI18P5-24,ED0-2,F,Y15-29,LU,2019,65
A,PC,BMI18P5-24,ED0-2,F,Y15-29,LV,2019,75.9
A,PC,BMI18P5-24,ED0-2,F,Y15-29,MT,2019,46.5
A,PC,BMI18P5-24,ED0-2,F,Y15-29,NL,2019,66.2
A,PC,BMI18P5-24,ED0-2,F,Y15-29,NO,2019,68.8
A,PC,BMI18P5-24,ED0-2,F,Y15-29,PL,2019,68.5
A,PC,BMI18P5-24,ED0-2,F,Y15-29,PT,2019,68.9
A,PC,BMI18P5-24,ED0-2,F,Y15-29,RO,2019,75.7
A,PC,BMI18P5-24,ED0-2,F,Y15-29,RS,2019,65.7
A,PC,BMI18P5-24,ED0-2,F,Y15-29,SE,2019,68.4
A,PC,BMI18P5-24,ED0-2,F,Y15-29,SI,2019,76.5
A,PC,BMI18P5-24,ED0-2,F,Y15-29,SK,2019,63.3
A,PC,BMI18P5-24,ED0-2,F,Y15-29,TR,2019,58.6
A,PC,BMI18P5-24,ED0-2,F,Y15-64,AT,2014,52.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,AT,2019,45.1
A,PC,BMI18P5-24,ED0-2,F,Y15-64,BE,2014,50.1
A,PC,BMI18P5-24,ED0-2,F,Y15-64,BE,2019,44.5
A,PC,BMI18P5-24,ED0-2,F,Y15-64,BG,2014,50.5
A,PC,BMI18P5-24,ED0-2,F,Y15-64,BG,2019,57.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,CY,2014,50.1
A,PC,BMI18P5-24,ED0-2,F,Y15-64,CY,2019,47
A,PC,BMI18P5-24,ED0-2,F,Y15-64,CZ,2014,56.6
A,PC,BMI18P5-24,ED0-2,F,Y15-64,CZ,2019,58.5
A,PC,BMI18P5-24,ED0-2,F,Y15-64,DE,2014,50.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,DE,2019,52.2
A,PC,BMI18P5-24,ED0-2,F,Y15-64,DK,2014,54.1
A,PC,BMI18P5-24,ED0-2,F,Y15-64,DK,2019,55.4
A,PC,BMI18P5-24,ED0-2,F,Y15-64,EE,2014,46.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,EE,2019,58
A,PC,BMI18P5-24,ED0-2,F,Y15-64,EL,2014,44.9
A,PC,BMI18P5-24,ED0-2,F,Y15-64,EL,2019,46.7
A,PC,BMI18P5-24,ED0-2,F,Y15-64,ES,2014,48.5
A,PC,BMI18P5-24,ED0-2,F,Y15-64,ES,2019,47.6
